GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payMyBuddy,com.api.payMyBuddy.security.jwt,AuthTokenFilter,73,7,8,0,17,2,6,2,2,2
payMyBuddy,com.api.payMyBuddy.security.jwt,AuthEntryPointJwt,10,7,0,0,3,2,1,2,1,2
payMyBuddy,com.api.payMyBuddy.security.jwt,JwtUtils,110,7,0,0,28,2,4,2,4,2
payMyBuddy,com.api.payMyBuddy,PayMyBuddyApplication,5,3,0,0,2,1,1,1,1,1
payMyBuddy,com.api.payMyBuddy.exceptions,NotFoundInDatabaseException,0,7,0,0,0,3,0,1,0,1
payMyBuddy,com.api.payMyBuddy.exceptions,AlreadyInDatabaseException,0,7,0,0,0,3,0,1,0,1
payMyBuddy,com.api.payMyBuddy.exceptions,APIRuntimeException,0,11,0,0,0,4,0,3,0,3
payMyBuddy,com.api.payMyBuddy.exceptions,NotEnoughMoneyException,0,7,0,0,0,3,0,1,0,1
payMyBuddy,com.api.payMyBuddy.service.mapper,MapperConnection,0,32,0,2,0,7,0,3,0,2
payMyBuddy,com.api.payMyBuddy.service.mapper,MapperTransaction,0,87,0,6,0,17,0,6,0,3
payMyBuddy,com.api.payMyBuddy.config,SwaggerConfig,0,47,0,0,0,15,0,4,0,4
payMyBuddy,com.api.payMyBuddy.config,ActuatorConfig,0,7,0,0,0,2,0,2,0,2
payMyBuddy,com.api.payMyBuddy.config,JTAConfig,0,22,0,0,0,6,0,2,0,2
payMyBuddy,com.api.payMyBuddy.model.front,BankAccount,0,20,0,0,0,5,0,1,0,1
payMyBuddy,com.api.payMyBuddy.model.front,Transaction.Type,0,15,0,0,0,1,0,1,0,1
payMyBuddy,com.api.payMyBuddy.model.front,Login,13,9,0,0,6,3,6,1,6,1
payMyBuddy,com.api.payMyBuddy.model.front,Connection,0,55,0,0,0,10,0,2,0,2
payMyBuddy,com.api.payMyBuddy.model.front,Transaction,0,126,0,2,0,23,0,3,0,2
payMyBuddy,com.api.payMyBuddy.model.front,User,0,88,0,0,0,23,0,3,0,3
payMyBuddy,com.api.payMyBuddy.model,JwtResponse,33,0,0,0,14,0,7,0,7,0
payMyBuddy,com.api.payMyBuddy.service,AccountService,0,71,0,4,0,16,0,5,0,3
payMyBuddy,com.api.payMyBuddy.service,TransactionService,0,209,0,10,0,36,0,9,0,4
payMyBuddy,com.api.payMyBuddy.service,UserService,0,240,0,18,0,44,0,13,0,4
payMyBuddy,com.api.payMyBuddy.service,ConnectionService,0,145,0,8,0,26,0,7,0,3
payMyBuddy,com.api.payMyBuddy.security,WebSecurityConfig,0,102,0,0,0,15,0,7,0,7
payMyBuddy,com.api.payMyBuddy.security.services,UserDetailsServiceImpl,5,24,0,0,1,6,1,3,1,3
payMyBuddy,com.api.payMyBuddy.model.entity,ConnectionEntity,0,16,0,0,0,6,0,1,0,1
payMyBuddy,com.api.payMyBuddy.model.entity,TransactionEntity,0,28,0,0,0,9,0,1,0,1
payMyBuddy,com.api.payMyBuddy.model.entity,UserEntity,0,110,0,12,0,27,0,9,0,3
payMyBuddy,com.api.payMyBuddy.controller,TransactionController,0,84,0,8,0,17,0,7,0,3
payMyBuddy,com.api.payMyBuddy.controller,ConnectionController,0,54,1,5,0,10,1,4,0,2
payMyBuddy,com.api.payMyBuddy.controller,ValidationClass,0,57,0,6,0,17,0,7,0,4
payMyBuddy,com.api.payMyBuddy.controller,AccountController,0,25,0,2,0,5,0,2,0,1
payMyBuddy,com.api.payMyBuddy.controller,UserController,0,53,1,5,0,10,1,4,0,2
payMyBuddy,com.api.payMyBuddy.controller,AuthController,31,24,0,2,7,5,1,2,1,1
